Timestamp,0003-0019,0022-0074,0023-0077,0025-0102,0028-0114,0035-0125,0037-0131,0043-0142,0045-0157,0050-0160,0051-0164,0055-0179,0057-0175,0058-0182,0068-0203,0073-0212,0074-0221,0075-0215,0076-0216,0077-0226,0080-0229,0082-0236,0091-0252,0101-0271,0103-0277,0104-0279,0105-0278,0106-0282,0107-0287,0109-0295,0111-0304,0113-0303,0115-0311,0117-0319,0118-0320,0124-0332,0125-0332,0126-0341,0131-0341,0132-0344,0139-0355,0147-0378,0150-0384,0153-0391,0158-0412,0160-0418,0162-0412,0168-0433,0174-0460,0175-0456,0176-0464,0178-0470,0183-0484,0195-0508,0199-0541,0201-0560,0202-0566,0203-0572,0204-0584,0206-0612,0210-0625,0213-0635,0220-0658,0221-0661,0226-0678,0233-0705,0238-0721,0241-0748,0248-0759,0249-0760,0251-0770,0255-0775,0258-0794,0259-0792,0261-0791,0263-0810,0267-0824,0271-0831,0274-0831,0277-0837,0279-0840,0282-0859,0284-0859,0286-0862,0288-0875,0291-0879,0292-0882,0293-0889,0294-0894,0301-0914,0305-0927,0307-0935,0318-0990,0320-0995,0324-1009,0329-1028,0330-1028,0335-1049,0341-1089,0343-1098,0347-1113,0349-1133,0350-1126,0354-1145,0355-1143,0359-1162,0360-1166,0362-1168,0366-1177,0369-1185,0370-1189,0372-1199,0375-1213,0380-1223,0382-1233,0389-1266,0390-1281,0391-1285,0393-1318,0394-1328,0396-1329,0403-1368,0415-1453,0418-1456,0419-1457,0421-1469,0427-1480,0428-1481,0429-1485,0431-1488,0433-1501,0434-1512,0437-1512,0438-1515,0444-1527,0447-1535,0448-1549,0451-1556
3910,0.783882784,0.932748538,0,0.372134039,0.923611111,1,1,0,0.857585139,1,1,1,0.884057971,1,0.6328125,0.982954545,1,0.745098039,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.962848297,1,1,1,1,1,0,1,1,0.979411765,0,0.045751634,1,0.999096658,0.996875,0,1,0,1,0.950617284,0.947916667,1,1,0.991200503,0.953216374,1,0,1,1,0.509698276,0,0,1,0,1,1,0.418981481,1,0.435013263,0.504201681,0.447830102,0.988636364,0.8203125,1,0.976973684,0.994117647,1,1,1,1,1,0,0.722567288,1,1,0,0.956190476,0.979238754,0.936758893,0.555555556,1,0,1,0.866666667,1,1,1,1,0,1,0.979545455,1,1,0.998,0.99380805,1,0.03959276,1,0.947649573,1,0.999288762,1,1,0.998106061,0.995535714,0.930147059,0.903940887,0.985714286,1,1,0.993598862,1,0.808333333,1,1,1,0.616666667,0.989505247,1,0.930701754,1,0.072592593,1,0.506666667,0.033888889,0.002116402
3920,0.783882784,0.926900585,0,0.35978836,0.920138889,1,1,0,0.860681115,1,1,1,0.884057971,1,0.6328125,0.991477273,1,0.745098039,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.969040248,1,1,1,1,1,0,0.996539792,1,0.979411765,0,0.045751634,1,1,0.996875,0,1,0,1,0.952674897,0.940104167,1,1,0.990571967,0.961988304,1,0,0.997584541,1,0.510775862,0,0,1,0,1,1,0.409722222,0.996732026,0.421750663,0.537815126,0.450600185,0.985795455,0.83984375,1,0.980263158,0.997058824,1,1,1,1,1,0,0.710144928,1,1,0,0.940952381,0.965397924,0.932806324,0.536458333,1,0,1,0.863492063,1,1,1,1,0,1,0.979545455,1,1,0.996,0.990712074,1,0.040723982,1,0.947649573,1,0.999288762,1,1,0.998106061,0.994047619,0.930147059,0.906403941,0.986243386,1,1,0.995732575,1,0.816666667,1,1,1,0.610714286,0.988005997,1,0.927192982,1,0.068148148,1,0.52,0.032222222,0.002116402
3930,0.783882784,0.929824561,0,0.363315697,0.9375,1,1,0,0.857585139,1,1,1,0.88115942,1,0.6484375,0.980113636,1,0.756302521,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.965944272,1,1,1,1,1,0,1,1,0.976470588,0,0.045751634,1,1,0.996875,0,1,0,1,0.950617284,0.955729167,1,1,0.990571967,0.956140351,1,0,0.997584541,1,0.512931034,0,0,1,0,1,1,0.430555556,1,0.438992042,0.549019608,0.451061865,0.985795455,0.828125,1,0.986842105,0.997058824,1,1,1,1,1,0,0.722567288,1,1,0,0.956190476,0.968858131,0.936758893,0.5625,1,0,1,0.866666667,1,1,1,1,0,1,0.979545455,1,1,0.996,0.990712074,1,0.042986425,1,0.947649573,1,0.999288762,1,1,0.994318182,0.989583333,0.941176471,0.910098522,0.986772487,1,1,0.995732575,1,0.816666667,1,1,1,0.608333333,0.991004498,1,0.928070175,1,0.066666667,1,0.448888889,0.033333333,0.001058201
3940,0.783882784,0.926900585,0,0.373897707,0.9375,1,1,0,0.860681115,1,1,1,0.886956522,1,0.65234375,0.988636364,1,0.742296919,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.965944272,1,1,1,1,1,0,1,1,0.973529412,0,0.049019608,1,1,0.99375,0,1,0,1,0.948559671,0.947916667,1,1,0.991200503,0.947368421,1,0,0.997584541,1,0.518318966,0,0,1,0,1,1,0.421296296,1,0.441644562,0.551820728,0.45567867,0.977272727,0.828125,1,0.980263158,0.997058824,1,1,1,1,1,0,0.708074534,1,1,0,0.940952381,0.965397924,0.936758893,0.546875,1,0,1,0.86031746,1,1,1,1,0,1,0.986363636,1,1,0.996,0.996904025,1,0.040723982,1,0.950854701,1,0.999288762,1,1,0.996212121,0.994047619,0.933823529,0.915024631,0.986772487,1,1,0.995021337,1,0.827777778,1,1,1,0.621428571,0.989505247,1,0.926315789,1,0.075555556,1,0.542222222,0.033333333,0
3950,0.783882784,0.926900585,0,0.368606702,0.923611111,1,1,0,0.848297214,1,1,1,0.87826087,1,0.640625,0.974431818,1,0.767507003,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.965944272,1,1,1,1,1,0,0.996539792,1,0.970588235,0,0.049019608,1,1,1,0,1,0,1,0.950617284,0.953125,1,1,0.991200503,0.953216374,1,0,0.997584541,1,0.507543103,0,0,1,0,1,1,0.423611111,1,0.437665782,0.551820728,0.449676824,0.982954545,0.828125,1,0.976973684,0.997058824,1,1,1,1,1,0,0.726708075,1,1,0,0.939047619,0.972318339,0.944664032,0.550347222,1,0,0.998327759,0.857142857,1,1,1,1,0,1,0.986363636,1,1,0.998,0.987616099,0.997807018,0.040723982,1,0.942307692,1,1,1,1,0.994318182,0.995535714,0.941176471,0.917487685,0.984656085,1,1,0.996443812,1,0.822222222,1,1,1,0.611904762,0.989505247,1,0.93245614,1,0.063703704,1,0.524444444,0.027777778,0.001058201
3960,0.783882784,0.923976608,0,0.366843034,0.9375,1,1,0,0.86377709,1,1,1,0.884057971,1,0.640625,0.991477273,1,0.756302521,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.962848297,1,1,1,1,1,0,1,1,0.985294118,0,0.045751634,1,1,0.996875,0,1,0,1,0.952674897,0.953125,1,1,0.993714645,0.953216374,1,0,0.997584541,1,0.533405172,0,0,1,0,1,1,0.423611111,0.996732026,0.435013263,0.593837535,0.459833795,0.988636364,0.82421875,1,0.976973684,0.997058824,1,1,1,1,1,0,0.714285714,1,1,0,0.952380952,0.975778547,0.928853755,0.552083333,1,0,1,0.863492063,1,1,1,1,0,1,0.979545455,1,1,0.996,0.987616099,0.997807018,0.041855204,1,0.951923077,1,0.999288762,1,1,0.994318182,0.994047619,0.9375,0.917487685,0.985714286,1,1,0.995732575,1,0.822222222,1,1,1,0.622619048,0.991004498,1,0.930701754,1,0.068148148,1,0.52,0.037222222,0
3970,0.783882784,0.923976608,0,0.366843034,0.923611111,1,1,0,0.854489164,1,1,1,0.886956522,1,0.65234375,0.980113636,1,0.770308123,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.950980392,0.965944272,1,1,1,1,1,0,1,1,0.976470588,0,0.04248366,1,1,0.996875,0,1,0,1,0.948559671,0.953125,1,1,0.990571967,0.956140351,1,0,1,1,0.526939655,0,0,1,0,1,1,0.418981481,1,0.440318302,0.616246499,0.4644506,0.982954545,0.83984375,1,0.986842105,0.997058824,1,1,1,1,1,0,0.714285714,1,1,0,0.944761905,0.979238754,0.93083004,0.538194444,1,0,1,0.863492063,1,1,1,1,0,1,0.979545455,1,1,0.996,0.990712074,0.997807018,0.047511312,1,0.947649573,1,0.999288762,1,1,0.992424242,0.995535714,0.944852941,0.911330049,0.987830688,1,1,0.996443812,1,0.822222222,1,1,1,0.608333333,0.989505247,1,0.93245614,1,0.066666667,1,0.551111111,0.032777778,0.002116402
3980,0.783882784,0.923976608,0,0.375661376,0.930555556,1,1,0,0.854489164,1,1,1,0.889855072,1,0.66015625,0.974431818,1,0.759103641,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.969040248,1,1,1,1,1,0,0.996539792,1,0.976470588,0,0.045751634,1,1,0.996875,0,1,0,1,0.950617284,0.958333333,1,1,0.991829038,0.956140351,1,0,0.997584541,1,0.521551724,0,0,1,0,1,1,0.449074074,1,0.449602122,0.635854342,0.462603878,0.988636364,0.82421875,1,0.980263158,0.997058824,1,1,1,1,1,0,0.722567288,1,1,0,0.95047619,0.968858131,0.928853755,0.546875,1,0,1,0.863492063,1,1,1,1,0,1,0.990909091,1,1,0.998,0.987616099,0.997807018,0.048642534,1,0.945512821,1,0.999288762,1,1,0.998106061,0.994047619,0.941176471,0.916256158,0.986772487,1,1,0.996443812,1,0.805555556,1,1,1,0.614285714,0.988005997,1,0.935087719,1,0.068148148,1,0.524444444,0.035,0.001058201
3990,0.783882784,0.926900585,0,0.380952381,0.934027778,1,1,0,0.857585139,1,1,1,0.88115942,1,0.6953125,0.991477273,1,0.761904762,1,1,1,1,1,1,1,0.061363636,1,0,0,1,1,0.950980392,0.962848297,1,1,1,1,1,0,0.996539792,1,0.982352941,0,0.052287582,1,1,0.996875,0,1,0,1,0.948559671,0.953125,1,1,0.993086109,0.959064327,1,0,0.997584541,1,0.528017241,0,0,1,0,1,1,0.405092593,1,0.425729443,0.638655462,0.46398892,0.988636364,0.8359375,1,0.980263158,0.997058824,1,1,1,0.998027613,1,0,0.716356108,1,1,0,0.958095238,0.982698962,0.938735178,0.545138889,1,0,1,0.863492063,1,1,1,1,0,1,0.979545455,1,1,0.994,0.996904025,1,0.044117647,1,0.952991453,1,0.999288762,1,1,0.996212121,0.998511905,0.9375,0.926108374,0.987301587,1,1,0.996443812,1,0.836111111,1,1,1,0.620238095,0.989505247,1,0.933333333,1,0.068148148,1,0.528888889,0.031666667,0.001058201
4000,0.783882784,0.923976608,0,0.358024691,0.923611111,1,1,0,0.860681115,1,1,1,0.889855072,1,0.67578125,0.991477273,1,0.770308123,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.960784314,0.969040248,1,1,1,1,1,0,0.996539792,1,0.970588235,0,0.052287582,1,1,1,0,1,0,1,0.950617284,0.953125,1,1,0.990571967,0.953216374,1,0,1,1,0.534482759,0,0,1,0,1,1,0.412037037,1,0.435013263,0.641456583,0.458910434,0.985795455,0.82421875,1,0.980263158,1,1,1,1,1,1,0,0.716356108,0.997942387,1,0,0.954285714,0.968858131,0.940711462,0.541666667,1,0,1,0.86031746,1,1,1,1,0,1,0.972727273,1,1,0.996,0.99380805,1,0.041855204,1,0.945512821,1,0.999288762,1,1,0.994318182,0.998511905,0.944852941,0.917487685,0.987301587,1,1,0.995732575,1,0.836111111,1,1,1,0.635714286,0.994002999,1,0.935964912,1,0.068148148,1,0.506666667,0.032222222,0.003174603
4010,0.783882784,0.923976608,0,0.380952381,0.927083333,1,1,0,0.860681115,1,1,1,0.889855072,1,0.67578125,0.991477273,1,0.74789916,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.965944272,1,1,1,1,1,0,0.996539792,1,0.979411765,0,0.04248366,1,1,1,0,1,0,1,0.950617284,0.950520833,1,1,0.993086109,0.959064327,1,0,0.997584541,1,0.528017241,0,0,1,0,1,1,0.425925926,1,0.442970822,0.677871148,0.464912281,0.988636364,0.828125,1,0.980263158,0.997058824,1,1,1,1,1,0,0.724637681,1,1,0,0.956190476,0.958477509,0.938735178,0.541666667,1,0,1,0.863492063,1,1,1,1,0,1,0.986363636,1,1,0.996,0.987616099,0.997807018,0.037330317,1,0.949786325,1,0.999288762,1,1,0.998106061,0.998511905,0.9375,0.921182266,0.986243386,1,1,0.996443812,1,0.841666667,1,1,1,0.617857143,0.992503748,1,0.935087719,1,0.081481481,1,0.497777778,0.038888889,0.002116402
4020,0.783882784,0.923976608,0,0.375661376,0.930555556,1,1,0,0.873065015,1,1,1,0.895652174,1,0.66796875,0.982954545,1,0.75070028,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.969040248,1,1,1,1,1,0,0.996539792,1,0.976470588,0,0.049019608,1,1,0.996875,0,1,0,1,0.948559671,0.947916667,1,1,0.992457574,0.956140351,1,0,0.997584541,1,0.52262931,0,0,1,0,1,1,0.439814815,1,0.444297082,0.669467787,0.469529086,0.982954545,0.828125,1,0.980263158,1,1,1,1,1,1,0,0.718426501,1,1,0,0.956190476,0.982698962,0.928853755,0.546875,1,0,1,0.86031746,1,1,1,1,0,1,0.988636364,1,1,0.998,0.996904025,1,0.041855204,1,0.946581197,1,0.999288762,1,1,0.996212121,0.998511905,0.941176471,0.922413793,0.986243386,1,1,0.996443812,1,0.811111111,1,1,1,0.605952381,0.992503748,1,0.94122807,1,0.072592593,1,0.555555556,0.034444444,0.002116402
4030,0.783882784,0.921052632,0,0.366843034,0.930555556,1,1,0,0.860681115,1,1,1,0.875362319,1,0.68359375,0.988636364,1,0.745098039,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.954248366,0.965944272,1,1,1,1,1,0,1,1,0.982352941,0,0.058823529,1,1,1,0,1,0,1,0.95473251,0.953125,1,1,0.993714645,0.953216374,1,0,0.997584541,1,0.538793103,0,0,1,0,1,1,0.428240741,1,0.433687003,0.700280112,0.466297322,0.982954545,0.83984375,1,0.980263158,0.997058824,1,1,1,1,1,0,0.720496894,1,1,0,0.944761905,0.979238754,0.934782609,0.553819444,1,0,1,0.876190476,1,1,1,1,0,1,0.984090909,1,1,1,0.996904025,1,0.038461538,1,0.950854701,1,1,1,1,0.996212121,1,0.9375,0.926108374,0.985714286,1,1,0.996443812,1,0.847222222,1,1,1,0.65,0.994002999,1,0.935964912,1,0.078518519,1,0.551111111,0.037222222,0.002116402
4040,0.783882784,0.923976608,0,0.380952381,0.930555556,1,1,0,0.86377709,1,1,1,0.889855072,1,0.67578125,0.988636364,1,0.770308123,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.969040248,1,1,1,1,1,0,0.996539792,1,0.976470588,0,0.055555556,1,1,0.99375,0,1,0,1,0.95473251,0.953125,1,1,0.993086109,0.950292398,1,0,0.997584541,1,0.545258621,0,0,1,0,1,1,0.425925926,1,0.442970822,0.700280112,0.467682364,0.982954545,0.82421875,1,0.983552632,0.997058824,1,1,1,1,1,0,0.712215321,1,1,0,0.948571429,0.955017301,0.950592885,0.560763889,1,0,1,0.86031746,1,1,1,1,0,1,0.990909091,1,1,0.998,0.987616099,0.997807018,0.047511312,1,0.950854701,1,0.999288762,1,1,0.996212121,1,0.941176471,0.928571429,0.987830688,1,1,0.99715505,1,0.819444444,1,1,1,0.639285714,0.991004498,1,0.935964912,1,0.08,1,0.537777778,0.036111111,0.002116402
4050,0.783882784,0.932748538,0,0.37037037,0.930555556,1,1,0,0.857585139,1,1,1,0.889855072,1,0.671875,0.991477273,1,0.789915966,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.965944272,1,1,1,1,1,0,1,1,0.976470588,0,0.049019608,1,1,1,0,1,0,1,0.956790123,0.950520833,1,1,0.993086109,0.956140351,1,0,1,1,0.542025862,0,0,1,0,1,1,0.43287037,1,0.435013263,0.722689076,0.47322253,0.988636364,0.8515625,1,0.983552632,0.997058824,1,1,1,1,1,0,0.722567288,1,1,0,0.946666667,0.968858131,0.932806324,0.546875,1,0,1,0.866666667,1,1,1,1,0,1,0.984090909,1,1,1,0.996904025,1,0.054298643,1,0.951923077,1,1,1,1,0.996212121,0.99702381,0.941176471,0.931034483,0.988888889,1,1,0.996443812,1,0.85,1,1,1,0.622619048,0.994002999,1,0.936842105,1,0.066666667,1,0.533333333,0.032222222,0.001058201
4060,0.783882784,0.929824561,0,0.373897707,0.934027778,1,1,0,0.860681115,1,1,1,0.889855072,1,0.65234375,0.991477273,1,0.764705882,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.950980392,0.962848297,1,1,1,1,1,0,0.996539792,1,0.973529412,0,0.058823529,1,1,1,0,1,0,1,0.948559671,0.955729167,1,1,0.993086109,0.953216374,1,0,0.995169082,1,0.546336207,0,0,1,0,1,1,0.446759259,1,0.435013263,0.708683473,0.476915974,0.980113636,0.83984375,1,0.983552632,1,1,1,1,1,1,0,0.724637681,1,1,0,0.956190476,0.972318339,0.928853755,0.538194444,1,0,1,0.857142857,1,1,1,1,0,1,0.986363636,1,1,0.994,0.996904025,1,0.058823529,1,0.949786325,1,1,1,1,0.994318182,1,0.941176471,0.93226601,0.986243386,1,1,0.996443812,1,0.855555556,1,1,1,0.625,0.995502249,1,0.940350877,1,0.08,1,0.497777778,0.032222222,0
4070,0.783882784,0.932748538,0,0.377425044,0.9375,1,1,0,0.86377709,1,1,1,0.889855072,1,0.6875,0.994318182,1,0.761904762,1,1,1,1,1,1,1,0.061363636,1,0,0,1,1,0.964052288,0.962848297,1,1,1,1,1,0,0.996539792,1,0.976470588,0,0.058823529,1,1,1,0,1,0,1,0.95473251,0.955729167,1,1,0.992457574,0.961988304,1,0,1,1,0.53987069,0,0,1,0,1,1,0.430555556,1,0.444297082,0.745098039,0.469067405,0.985795455,0.84375,1,0.980263158,1,1,1,1,0.999013807,1,0,0.718426501,1,1,0,0.958095238,0.968858131,0.932806324,0.539930556,1,0,1,0.863492063,1,1,1,1,0,1,0.984090909,1,1,0.996,0.99380805,1,0.049773756,1,0.951923077,1,1,1,1,0.994318182,0.998511905,0.944852941,0.933497537,0.986772487,1,1,0.996443812,1,0.841666667,1,1,1,0.625,0.997001499,1,0.947368421,1,0.071111111,1,0.533333333,0.038888889,0.001058201
4080,0.783882784,0.935672515,0,0.382716049,0.934027778,1,1,0,0.866873065,0.996732026,1,1,0.884057971,1,0.6640625,0.994318182,1,0.778711485,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.965944272,1,1,1,1,1,0,0.996539792,1,0.973529412,0,0.052287582,1,1,1,0,1,0,1,0.952674897,0.9609375,1,1,0.993714645,0.959064327,1,0,0.997584541,1,0.547413793,0,0,1,0,1,1,0.44212963,0.996732026,0.440318302,0.745098039,0.475992613,0.982954545,0.8359375,1,0.980263158,0.997058824,1,1,1,0.999013807,1,0,0.724637681,1,1,0,0.96,0.982698962,0.944664032,0.548611111,1,0,1,0.857142857,1,1,1,1,0,1,0.981818182,1,1,0.998,0.99380805,1,0.055429864,1,0.952991453,1,0.999288762,1,1,0.998106061,1,0.933823529,0.931034483,0.986772487,1,1,0.996443812,1,0.822222222,1,1,1,0.64047619,0.991004498,1,0.942982456,1,0.072592593,1,0.582222222,0.042777778,0
4090,0.783882784,0.938596491,0,0.373897707,0.927083333,1,1,0,0.86377709,1,1,1,0.886956522,1,0.68359375,0.994318182,1,0.764705882,1,1,1,1,1,1,1,0.063636364,1,0,0,1,1,0.95751634,0.972136223,1,1,1,1,1,0,1,1,0.973529412,0,0.049019608,1,1,1,0,1,0,1,0.950617284,0.947916667,1,1,0.992457574,0.950292398,1,0,1,1,0.550646552,0,0,1,0,1,1,0.4375,1,0.444297082,0.759103641,0.471837488,0.988636364,0.84765625,1,0.980263158,0.997058824,1,1,1,1,1,0,0.720496894,1,1,0,0.967619048,0.975778547,0.924901186,0.548611111,1,0,1,0.866666667,1,1,1,1,0,1,0.993181818,1,1,0.996,0.990712074,0.997807018,0.061085973,1,0.949786325,1,1,1,1,0.996212121,1,0.941176471,0.937192118,0.985714286,1,1,0.99715505,1,0.811111111,1,1,1,0.616666667,0.994002999,1,0.943859649,1,0.063703704,1,0.524444444,0.038333333,0.003174603
