Timestamp,0014-0059,0018-0068,0019-0070,0021-0068,0023-0074,0025-0087,0028-0080,0032-0091,0033-0093,0036-0096,0038-0100,0041-0108,0042-0116,0044-0141,0045-0119,0051-0160,0052-0169,0054-0184,0057-0192,0070-0236,0072-0237,0073-0241,0079-0259,0082-0273,0085-0277,0089-0279,0096-0294,0099-0294,0102-0310,0111-0367,0113-0376,0117-0388,0118-0392,0121-0414,0123-0403,0124-0413,0125-0406,0129-0424,0130-0433,0131-0438,0132-0436,0134-0473,0142-0500,0144-0523,0145-0526,0147-0546,0148-0546,0149-0564,0151-0569,0157-0582,0162-0613,0163-0617,0166-0620,0167-0624,0171-0631,0172-0648,0174-0644,0176-0651,0177-0644,0178-0644,0182-0662,0184-0687,0193-0746,0195-0743,0200-0759,0207-0773,0209-0775,0212-0788,0214-0807,0216-0806,0219-0813,0224-0829,0225-0837,0228-0846,0229-0839,0234-0850,0238-0862,0239-0857,0242-0859,0243-0864,0252-0895,0253-0902,0261-0914,0264-0928,0268-0942,0269-0944,0273-0953,0274-0958,0278-0967,0280-0981,0281-0983,0284-0986,0285-0989,0289-1015,0290-1011,0295-1012,0300-1037,0301-1034,0302-1045,0306-1069,0309-1068,0310-1140,0313-1089,0316-1102,0318-1113,0320-1129,0324-1155,0325-1156,0328-1152,0330-1160,0332-1167,0333-1171,0334-1181,0339-1210,0340-1215,0341-1219,0344-1236,0346-1252,0347-1260,0349-1264,0350-1287,0355-1305,0356-1302,0358-1315,0359-1329,0360-1316,0361-1321,0364-1332,0368-1340,0369-1346,0370-1358,0375-1361,0376-1362,0383-1382,0385-1388,0388-1404,0390-1413,0391-1414,0396-1435,0398-1443,0399-1439,0400-1446,0401-1447,0408-1469,0409-1473,0411-1476,0413-1481,0425-1516,0430-1544,0431-1551
64260,1,1,1,1,1,0.998780488,1,1,0,1,1,1,1,1,0.265550239,1,1,1,1,1,1,1,0.608333333,0.257936508,0.967078189,1,0.950909091,1,1,1,0.973333333,0.838969404,1,0.843465046,0.93697479,1,1,0.738562092,1,0.951298701,0.774305556,1,1,0.192640693,0.543417367,0.147619048,0.23046875,0.229488704,0.067669173,0.002631579,0.004166667,0.00280112,0.421052632,0.247058824,0.621301775,0.031464531,0.829333333,0.040189125,0.017647059,0.006578947,0.122257053,0.072213501,0.523809524,0,0,0.807407407,0.757647059,0.075712144,0,0,0,0,0.042105263,0.003378378,0,0,0,0,0,0.226190476,0.160714286,0.812911726,0,0,0,0.814645309,0,0.012698413,0,0.003076923,0.266666667,0.195555556,0.100346021,0.013043478,0.04625,0.455357143,0,0.178571429,0.427750411,0.994008715,1,1,0.004938272,0,0,0,0.496394231,0.16540404,0,0,0,0.395789474,0.014253563,0,0,0.204166667,0.80952381,0.671111111,0.986111111,1,0.677865613,0.957816377,0.025210084,0.517323775,0.137651822,0.46215781,0.210826211,0.602941176,0,0.850649351,0,0,1,0,0,1,0,0.519762846,0.181547619,0.604901961,0.005291005,0,1,0.683229814,0.061264822,0.070769231,0.402173913,0,0,0.002580645
64320,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.28708134,1,1,1,1,1,1,1,0.611111111,0.265873016,0.973251029,1,0.941818182,1,1,1,0.973333333,0.847020934,1,0.827507599,0.93697479,1,1,0.745098039,1,0.974025974,0.788194444,1,1,0.188311688,0.523809524,0.153968254,0.23046875,0.221165279,0.042606516,0.005263158,0,0.005602241,0.411764706,0.247058824,0.639053254,0.034324943,0.865333333,0.044326241,0.014705882,0,0.105015674,0.069073783,0.523286238,0,0,0.811111111,0.752941176,0.067466267,0,0,0,0,0.035087719,0.006756757,0,0,0,0,0,0.238095238,0.165372671,0.81027668,0,0,0,0.832951945,0,0.00952381,0,0.003076923,0.256944444,0.16,0.093425606,0.014130435,0.05625,0.477678571,0,0.170634921,0.463054187,0.996732026,1,1,0.012345679,0,0,0,0.487980769,0.160353535,0,0,0,0.393684211,0.018754689,0,0,0.15,0.835978836,0.724444444,0.986111111,1,0.662055336,0.957816377,0.008403361,0.522102748,0.156545209,0.468599034,0.227920228,0.595588235,0,0.839285714,0,0,1,0,0,1,0,0.561264822,0.178571429,0.593137255,0.010582011,0,1,0.67494824,0.071146245,0.081538462,0.413043478,0,0,0.012903226
64380,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.263157895,1,1,1,1,1,1,1,0.608333333,0.260582011,0.971193416,1,0.950909091,1,1,1,0.968888889,0.834138486,1,0.825227964,0.941176471,1,1,0.745098039,1,0.951298701,0.784722222,1,1,0.192640693,0.549019608,0.149206349,0.23046875,0.197384067,0.060150376,0,0,0.008403361,0.433436533,0.223529412,0.639053254,0.037185355,0.845333333,0.040189125,0.035294118,0.013157895,0.111285266,0.086342229,0.516483516,0,0,0.812345679,0.757647059,0.086206897,0,0,0,0,0.010526316,0.012668919,0,0,0,0,0,0.220238095,0.151397516,0.82345191,0,0,0,0.828375286,0,0.004761905,0,0.003076923,0.263888889,0.204444444,0.096885813,0.006521739,0.04875,0.491071429,0,0.192460317,0.443349754,0.996187364,1,1,0.00617284,0,0,0,0.491586538,0.150252525,0,0,0,0.381052632,0.014253563,0,0,0.1375,0.822751323,0.693333333,0.986111111,1,0.662055336,0.949131514,0.00280112,0.504181601,0.169140801,0.465378422,0.210826211,0.599264706,0,0.845779221,0,0,1,0,0,1,0,0.533596838,0.175595238,0.583333333,0.005291005,0,1,0.677018634,0.065217391,0.089230769,0.432608696,0,0,0.001290323
64440,1,1,1,1,1,0.999390244,1,1,0,1,1,1,1,1,0.270334928,1,1,1,1,1,1,1,0.608333333,0.267195767,0.96399177,1,0.958181818,1,1,1,0.974814815,0.845410628,1,0.835866261,0.953781513,1,1,0.745098039,1,0.962662338,0.791666667,1,1,0.216450216,0.532212885,0.149206349,0.25390625,0.269916766,0.117794486,0,0,0,0.408668731,0.265882353,0.656804734,0.03604119,0.873333333,0.043735225,0.023529412,0.003289474,0.114420063,0.091836735,0.537414966,0,0,0.830864198,0.745882353,0.073463268,0,0,0,0,0.042105263,0.008445946,0,0,0,0,0,0.240079365,0.166925466,0.82740448,0,0,0.005244755,0.81006865,0,0.012698413,0,0.001538462,0.261111111,0.204444444,0.107266436,0.008695652,0.055,0.477678571,0,0.214285714,0.477011494,0.992374728,1,1,0.008641975,0,0,0,0.489182692,0.179292929,0,0,0,0.431578947,0.021005251,0,0,0.154166667,0.832010582,0.737777778,0.986111111,1,0.648221344,0.961538462,0.019607843,0.518518519,0.152046784,0.466988728,0.233618234,0.621323529,0,0.86038961,0,0,1,0,0,1,0,0.537549407,0.199404762,0.608823529,0.015873016,0,1,0.685300207,0.057312253,0.067692308,0.406521739,0,0,0.00516129
64500,1,1,1,1,1,0.998170732,1,1,0,1,1,1,1,1,0.270334928,1,1,1,1,1,1,1,0.627777778,0.253968254,0.968106996,1,0.947272727,1,1,1,0.971851852,0.850241546,1,0.820668693,0.945378151,1,1,0.745098039,1,0.965909091,0.809027778,1,1,0.220779221,0.512605042,0.150793651,0.21484375,0.246135553,0.047619048,0.021052632,0,0.008403361,0.421052632,0.232941176,0.597633136,0.034324943,0.846666667,0.044917258,0.002941176,0,0.114420063,0.072213501,0.514913658,0,0,0.820987654,0.741176471,0.078710645,0,0,0,0,0.052631579,0.008445946,0,0,0,0,0,0.246031746,0.153726708,0.82740448,0,0,0,0.819221968,0,0.006349206,0,0.001538462,0.2625,0.195555556,0.100346021,0.010869565,0.05375,0.446428571,0,0.220238095,0.452380952,0.994008715,1,1,0.007407407,0,0,0,0.487980769,0.167929293,0,0,0,0.425263158,0.015003751,0,0,0.108333333,0.806878307,0.671111111,0.986111111,0.995535714,0.675889328,0.956575682,0.00280112,0.53046595,0.152946469,0.458937198,0.222222222,0.606617647,0,0.855519481,0,0,1,0,0,1,0,0.535573123,0.181547619,0.595098039,0.007936508,0,1,0.6873706,0.090909091,0.075384615,0.4,0,0,0
64560,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.270334928,1,1,1,1,1,1,1,0.627777778,0.256613757,0.967078189,1,0.961818182,1,1,1,0.967407407,0.853462158,1,0.830547112,0.93697479,1,1,0.754901961,1,0.970779221,0.798611111,1,1,0.216450216,0.557422969,0.154761905,0.21875,0.269916766,0.042606516,0.002631579,0,0,0.399380805,0.228235294,0.633136095,0.030320366,0.864,0.040780142,0.026470588,0.013157895,0.087774295,0.080847724,0.538461538,0.004761905,0,0.82962963,0.76,0.057721139,0,0,0,0,0.045614035,0.008445946,0,0,0,0,0,0.248015873,0.152173913,0.820816864,0,0,0,0.80778032,0,0.004761905,0,0.003076923,0.277777778,0.217777778,0.100346021,0.014130435,0.05875,0.473214286,0,0.196428571,0.459770115,0.996187364,1,1,0.00617284,0,0,0,0.477163462,0.198232323,0,0,0,0.418947368,0.016504126,0,0,0.15,0.865079365,0.733333333,0.979166667,1,0.681818182,0.955334988,0,0.516129032,0.156545209,0.463768116,0.227920228,0.580882353,0,0.853896104,0,0,1,0,0,1,0,0.537549407,0.18452381,0.600980392,0.007936508,0,1,0.68115942,0.079051383,0.084615385,0.430434783,0,0,0.001290323
64620,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.277511962,1,1,1,1,1,1,1,0.611111111,0.256613757,0.969135802,1,0.963636364,1,1,1,0.982222222,0.835748792,1,0.82218845,0.93697479,1,1,0.72875817,1,0.977272727,0.802083333,1,1,0.196969697,0.582633053,0.153174603,0.23828125,0.267538644,0.090225564,0.015789474,0,0.016806723,0.417956656,0.214117647,0.597633136,0.030320366,0.86,0.037234043,0.005882353,0.016447368,0.119122257,0.069073783,0.54107797,0.002380952,0,0.813580247,0.738823529,0.08095952,0,0,0,0,0.021052632,0.016047297,0,0,0,0,0,0.234126984,0.159937888,0.819499341,0,0,0,0.830663616,0,0.022222222,0,0,0.241666667,0.173333333,0.103806228,0.011413043,0.05125,0.46875,0,0.196428571,0.47044335,0.994553377,1,1,0.004938272,0,0,0,0.492788462,0.146464646,0,0,0,0.429473684,0.018754689,0,0,0.129166667,0.817460317,0.711111111,0.982638889,1,0.693675889,0.955334988,0.014005602,0.519713262,0.157894737,0.468599034,0.199430199,0.591911765,0,0.852272727,0,0,1,0,0,1,0,0.543478261,0.18452381,0.594117647,0.002645503,0,1,0.683229814,0.079051383,0.072307692,0.408695652,0,0,0.00516129
64680,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.289473684,1,1,1,1,1,1,1,0.616666667,0.259259259,0.974279835,1,0.958181818,1,1,1,0.973333333,0.845410628,1,0.818389058,0.941176471,1,1,0.764705882,1,0.970779221,0.829861111,1,1,0.183982684,0.546218487,0.151587302,0.24609375,0.287752675,0.060150376,0.002631579,0,0.011204482,0.405572755,0.251764706,0.639053254,0.035469108,0.836,0.037825059,0.014705882,0.009868421,0.097178683,0.066718995,0.527995814,0,0,0.828395062,0.762352941,0.068965517,0,0,0,0,0.042105263,0.014358108,0,0,0,0,0,0.19047619,0.151397516,0.814229249,0,0,0,0.823798627,0,0.007936508,0,0.001538462,0.258333333,0.164444444,0.096885813,0.00923913,0.05375,0.450892857,0,0.158730159,0.435139573,0.99291939,1,1,0.003703704,0,0,0,0.479567308,0.188131313,0,0,0,0.423157895,0.018004501,0,0,0.191666667,0.837301587,0.728888889,0.986111111,1,0.681818182,0.954094293,0.014005602,0.531660693,0.159694107,0.465378422,0.233618234,0.599264706,0,0.850649351,0,0,1,0,0,1,0,0.549407115,0.1875,0.603921569,0.015873016,0,1,0.677018634,0.071146245,0.076923077,0.406521739,0,0,0
64740,1,1,1,1,1,0.999390244,1,1,0,1,1,1,1,1,0.291866029,1,1,1,1,1,1,1,0.622222222,0.244708995,0.970164609,1,0.952727273,1,1,1,0.971851852,0.84863124,1,0.830547112,0.945378151,1,1,0.748366013,1,0.978896104,0.829861111,1,1,0.158008658,0.546218487,0.154761905,0.23046875,0.273483948,0.060150376,0.010526316,0,0.008403361,0.433436533,0.230588235,0.573964497,0.032036613,0.877333333,0.035460993,0.047058824,0.019736842,0.101880878,0.092621664,0.538461538,0,0,0.822222222,0.745882353,0.063718141,0,0,0,0,0.031578947,0.01097973,0,0,0,0,0,0.216269841,0.165372671,0.830039526,0,0,0,0.791762014,0,0.004761905,0,0,0.266666667,0.164444444,0.093425606,0.007065217,0.04875,0.482142857,0,0.208333333,0.444170772,0.99291939,1,1,0.003703704,0,0,0,0.485576923,0.179292929,0,0,0,0.414736842,0.015753938,0,0,0.108333333,0.83994709,0.737777778,0.982638889,1,0.691699605,0.956575682,0.011204482,0.522102748,0.157894737,0.46215781,0.217948718,0.591911765,0,0.844155844,0,0,1,0,0,1,0,0.498023715,0.19047619,0.57254902,0.005291005,0,1,0.683229814,0.067193676,0.081538462,0.415217391,0,0,0
64800,1,1,1,1,1,0.999390244,1,1,0,1,1,1,1,1,0.267942584,1,1,1,1,1,1,1,0.630555556,0.271164021,0.969135802,1,0.949090909,1,1,1,0.973333333,0.84863124,1,0.839665653,0.941176471,1,1,0.745098039,1,0.98538961,0.8125,1,1,0.227272727,0.571428571,0.156349206,0.25390625,0.272294887,0.072681704,0.007894737,0,0,0.427244582,0.211764706,0.650887574,0.039473684,0.854666667,0.038416076,0.014705882,0.009868421,0.109717868,0.083202512,0.530612245,0,0,0.811111111,0.752941176,0.067466267,0,0,0,0,0.031578947,0.015202703,0,0,0,0,0,0.196428571,0.163819876,0.819499341,0,0,0,0.80778032,0,0.00952381,0,0.006153846,0.248611111,0.168888889,0.100346021,0.010326087,0.05,0.459821429,0,0.174603175,0.436781609,0.994008715,1,1,0.004938272,0,0,0,0.477163462,0.140151515,0,0,0,0.452631579,0.013503376,0,0,0.166666667,0.814814815,0.702222222,0.989583333,1,0.656126482,0.950372208,0.00280112,0.523297491,0.147098516,0.466988728,0.217948718,0.621323529,0,0.849025974,0,0,1,0.001976285,0,1,0,0.545454545,0.172619048,0.604901961,0,0,1,0.679089027,0.079051383,0.064615385,0.404347826,0,0,0
64860,1,1,1,1,1,0.999390244,1,1,0,1,1,1,1,1,0.275119617,1,1,1,1,1,1,1,0.611111111,0.268518519,0.972222222,1,0.950909091,1,1,1,0.976296296,0.851851852,1,0.841945289,0.93697479,1,1,0.748366013,1,0.987012987,0.809027778,1,1,0.212121212,0.557422969,0.161904762,0.28515625,0.227110583,0.065162907,0.018421053,0,0.005602241,0.399380805,0.223529412,0.609467456,0.034897025,0.846666667,0.040780142,0.020588235,0,0.114420063,0.07299843,0.534798535,0.002380952,0,0.811111111,0.745882353,0.087706147,0,0,0,0,0.035087719,0.013513514,0,0,0,0,0,0.222222222,0.174689441,0.816864295,0,0,0,0.789473684,0,0.020634921,0,0.003076923,0.251388889,0.208888889,0.08650519,0.014673913,0.05,0.464285714,0,0.218253968,0.459770115,0.994008715,1,1,0.004938272,0,0,0,0.495192308,0.190656566,0,0,0,0.44,0.015753938,0,0,0.183333333,0.838624339,0.746666667,0.989583333,1,0.669960474,0.954094293,0.011204482,0.520908005,0.152946469,0.46215781,0.237891738,0.639705882,0,0.858766234,0,0,1,0,0,1,0,0.553359684,0.202380952,0.601960784,0.007936508,0,1,0.677018634,0.053359684,0.083076923,0.432608696,0,0,0
64920,1,1,1,1,1,0.998170732,1,1,0,1,1,1,1,1,0.279904306,1,1,1,1,1,1,1,0.627777778,0.283068783,0.969135802,1,0.949090909,1,1,1,0.980740741,0.84863124,1,0.843465046,0.949579832,1,1,0.732026144,1,0.957792208,0.791666667,1,1,0.201298701,0.56302521,0.157142857,0.2109375,0.229488704,0.080200501,0.002631579,0,0.00280112,0.430340557,0.209411765,0.633136095,0.034324943,0.853333333,0.039598109,0.017647059,0.003289474,0.103448276,0.068288854,0.524856096,0.004761905,0,0.807407407,0.752941176,0.068215892,0,0,0,0,0.031578947,0.009290541,0,0,0,0,0,0.212301587,0.164596273,0.822134387,0,0,0,0.853546911,0,0.011111111,0,0.004615385,0.248611111,0.182222222,0.089965398,0.010326087,0.05125,0.46875,0,0.180555556,0.424466338,0.994008715,1,1,0.007407407,0,0,0,0.486778846,0.147727273,0,0,0,0.406315789,0.012003001,0,0,0.104166667,0.816137566,0.755555556,0.982638889,1,0.683794466,0.952853598,0.011204482,0.518518519,0.160593792,0.47020934,0.205128205,0.602941176,0,0.847402597,0,0,1,0,0,1,0,0.541501976,0.1875,0.58627451,0.010582011,0,1,0.691511387,0.06916996,0.061538462,0.417391304,0,0,0
64980,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.267942584,1,1,1,1,1,1,1,0.619444444,0.244708995,0.971193416,1,0.947272727,1,1,1,0.973333333,0.835748792,1,0.82674772,0.932773109,1,1,0.741830065,1,0.974025974,0.788194444,1,1,0.201298701,0.540616246,0.153174603,0.2421875,0.254458977,0.087719298,0,0,0.011204482,0.433436533,0.235294118,0.639053254,0.034897025,0.852,0.041371158,0.008823529,0.026315789,0.094043887,0.070643642,0.529042386,0,0,0.802469136,0.76,0.078710645,0,0,0,0,0.042105263,0.010135135,0,0,0,0,0,0.228174603,0.169254658,0.814229249,0,0,0,0.844393593,0,0.012698413,0,0.001538462,0.25,0.226666667,0.114186851,0.007065217,0.05,0.473214286,0,0.154761905,0.418719212,0.994008715,1,1,0.013580247,0,0,0,0.471153846,0.189393939,0,0,0,0.437894737,0.015003751,0,0,0.204166667,0.846560847,0.711111111,0.989583333,1,0.671936759,0.950372208,0.011204482,0.50776583,0.157444894,0.468599034,0.209401709,0.580882353,0,0.842532468,0,0,1,0,0,1,0,0.5256917,0.19047619,0.6,0.010582011,0,1,0.691511387,0.071146245,0.087692308,0.417391304,0,0,0
65040,1,1,1,1,1,0.999390244,1,1,0,1,1,1,1,1,0.263157895,1,1,1,1,1,1,1,0.630555556,0.256613757,0.973251029,1,0.961818182,1,1,1,0.971851852,0.850241546,1,0.832066869,0.932773109,1,1,0.735294118,1,0.987012987,0.8125,1,1,0.207792208,0.585434174,0.150793651,0.265625,0.267538644,0.065162907,0.005263158,0,0.016806723,0.405572755,0.249411765,0.662721893,0.038901602,0.862666667,0.040189125,0.005882353,0,0.087774295,0.078492936,0.531658817,0,0,0.812345679,0.741176471,0.094452774,0,0,0,0,0.038596491,0.01097973,0,0,0,0,0,0.236111111,0.163043478,0.812911726,0,0,0,0.878718535,0,0.00952381,0,0.003076923,0.286111111,0.217777778,0.117647059,0.011956522,0.0475,0.477678571,0,0.226190476,0.44499179,0.995098039,1,1,0.00617284,0,0,0,0.480769231,0.154040404,0,0,0,0.442105263,0.018754689,0,0,0.129166667,0.832010582,0.72,0.986111111,1,0.685770751,0.957816377,0.014005602,0.519713262,0.156545209,0.465378422,0.217948718,0.621323529,0,0.850649351,0,0,1,0,0,1,0,0.543478261,0.172619048,0.612745098,0.002645503,0,1,0.68115942,0.090909091,0.064615385,0.417391304,0,0,0.00516129
