 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,,,Al At%,Cu At%,Mg At%,Fe At%,Mn At%,Si At%,O At%,,Type
84,201,"678,490","269,779","68,669",666,264,25,13,0.536,"25,318",666,270,"9,090","13,000","1,862",0.537,0.838,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
85,347,"998,157","276,699","75,012",985,268,27,18,0.775,"29,547",985,270,"156,038","17,393","1,755",0.570,0.920,,,70.4370437,19.27192719,0.730073007,4.670467047,2.940294029,0.380038004,1.570157016,,Secondary
86,37,"129,365","271,959","30,385",125,269,10,7,0.504,"10,817",126,276,"33,690","6,548","2,119",0.472,0.698,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
87,61,"1,282,697","278,172","38,870",1277,272,11,12,0.507,"16,279",1277,284,"47,490","6,394","3,202",0.312,0.762,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
88,27,"691,759","275,833","18,728",689,273,6,6,0.967,"7,211",690,279,"56,310","6,000","1,137",0.880,0.871,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
89,16,"1,474,375","279,812","14,728",1472,277,5,5,0.927,"5,385",1474,277,"111,801","4,919","1,076",0.929,0.821,,,90.2390239,2.550255026,1.900190019,0.330033003,0.230023002,0.660066007,4.090409041,,Secondary
90,13,"1,504,885","279,115","11,899",1503,277,4,4,"1,000","5,000",1503,281,"36,870","4,000","1,159",0.863,0.897,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
91,24,"776,083","281,792","20,971",772,279,8,5,0.686,"8,944",772,280,"153,435","4,642","2,333",0.429,0.762,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
92,31,"612,597","282,694","20,142",609,280,7,6,0.960,"8,602",609,280,"144,462","5,657","1,592",0.628,0.899,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
93,42,"1,490,857","284,667","24,971",1486,281,10,6,0.846,"10,198",1486,284,"168,690","6,000","1,772",0.564,0.884,,,89.70485243,3.64182091,2.711355678,0,0.180090045,0,3.76188094,,Unknown
94,21,"1,476,357","287,262","16,728",1473,285,7,4,0.943,"7,280",1473,289,"15,945","4,000","1,618",0.618,0.894,,,77.19257808,11.60539357,8.908608966,0.195920249,0,0.115247205,1.98225193,,Unknown
95,19,"110,289","288,553","15,314",108,286,5,5,"1,000","6,403",108,291,"38,660","4,919","1,380",0.725,0.884,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
96,125,"1,528,412","295,356","46,284",1521,288,16,13,0.733,"19,416",1521,289,"145,491","9,985","2,169",0.461,0.856,,,53.83,21.62,21.53,0,0,0.47,2.55,,S-phase
97,16,"1,533,312","290,000","13,899",1531,288,5,4,"1,000","5,831",1531,292,"30,964","4,000","1,371",0.729,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
98,16,"1,591,000","292,500","14,485",1589,290,4,5,0.958,"6,403",1589,295,"51,340","4,000","1,662",0.602,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
99,44,"1,004,000","294,409","26,142",999,292,10,5,0.809,"10,440",999,293,"163,301","5,000","2,054",0.487,0.917,,,71.05,17.32,0.55,5.14,2.42,0.56,2.96,,Secondary
100,253,"1,492,168","301,990","76,184",1476,294,29,14,0.548,"30,364",1476,305,"17,241","14,000","2,786",0.359,0.789,,,74.98,13.62,9.08,0,0,0.59,1.73,,Unknown
101,62,"1,358,790","308,645","32,142",1356,302,6,13,0.754,"13,928",1356,302,"111,038","6,000","2,324",0.430,0.919,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
102,105,"1,140,357","310,110","38,042",1135,304,11,13,0.912,"14,765",1137,317,"61,699","10,607","1,398",0.715,0.909,,,70.2,18.03,0.28,5.19,2.28,0.34,3.68,,Secondary
103,67,"144,022","316,918","34,385",141,310,7,14,0.712,"14,560",142,324,"74,055","6,833","2,456",0.407,0.854,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
104,77,"995,786","316,500","32,627",991,311,9,12,0.909,"12,369",994,311,"104,036","9,000","1,326",0.754,0.901,,,73.54265403,22.66587678,1.007109005,0,0,0.130331754,2.654028436,,Unknown
105,11,"1,123,318","335,318","11,899",1121,333,4,4,0.976,"4,472",1123,333,"116,565","4,000","1,035",0.966,0.846,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
106,22,"1,140,318","343,091","16,728",1138,340,5,6,0.988,"7,211",1138,346,"56,310","4,919","1,582",0.632,0.880,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
